Date,Branch,Location,Feeder,Category,Fault,Areas Affected
02/10/2021,Shomolu,Oworo ,33 KV,Feeder,FAULT ON OWORO IGBOBI 33KV,Oworo Igbobi
02/10/2021,Shomolu,Oworo,33 KV,Feeder,FAULT ON OWORO IGBOBI 33KV,Oworo Igbobi
04/10/2021,Abule Egba,Fagba,Not Specified,Transformer (N/S),FAULT ON 11-IJAIYE OJOKOROINJ-T1-AGBADO 2-MAJEOBAJE,11-IJAIYE OJOKOROINJ-T1-AGBADO 2-MAJEOBAJE
10/10/2021,Abule Egba,Fagba,11 KV,Feeder,FAULT ON AGBE ROAD 11KV FEEDER,Agbe Road
10/10/2021,Abule Egba,Fagba,11 KV,Feeder,FAULT ON AGBE ROAD 11KV FEEDER,Agbe Road
24/10/2021,Shomolu,Ketu,11 KV,Feeder,FAULT ON KETU 11KV FEEDER,Ketu
04/11/2021,Abule Egba,Fagba,11 KV,Feeder,FAULT AFFECTING AGBE RD 11KV FEEDER,Agbe Road
04/11/2021,Abule Egba,Fagba,11 KV,Feeder,FAULT AFFECTING AGBE RD 11KV FEEDER,Agbe Road
06/11/2021,Shomolu,Oworo,33 KV,Planned,"PLANNED OUTAGE REQUEST ON OWORO 1, 33KV FEEDER","OWORO, LADI LAK, PEDRO"
15/11/2021,Abule Egba,Iju,Not Specified,Feeder,CURRENT OUTAGE IS DUE TO A FEEDER FAULT,Iju
15/11/2021,Shomolu,Oworo,Not Specified,Breaker,BREAKER FAULT ON HOSPITAL,11-OWOROINJ-T1-HOSPITAL
17/11/2021,Abule Egba,Adiyan,11 KV,Feeder,OUTAGE AFFECTING CUSTOMERS ON OPEILU 11KV FEEDER,Adiyan
17/11/2021,Shomolu,Olateju,Not Specified,Transformer (N/S),11-MUSHININJ-T1-MUSHIN-OLATEJU,MUSHIN-OLATEJU
18/11/2021,Abule Egba,Fagba,Not Specified,Transformer,FAULT ON AGEGEINJ-T1-OKO OBA,AGEGEINJ-T1-OKO OBA
20/11/2021,Shomolu,Ketu,11 KV,Feeder,"FAULT ON WASIMI, AGIDI, ARAROMI, AND AKANIMODO 11KV FEEDER","WASIMI, AGIDI, ARAROMI, AND AKANIMODO 11KV FEEDER"
22/11/2021,Shomolu,Ogudu,33 KV,Feeder,PLANNED OUTAGE ON MARYLAND-AJEGUNLE 33KV LINE,"AJEGUNLE, THOMAS LANIYAN, OWODE ONIRIN & ENVIRONS"
29/11/2021,Abule Egba,Iju,Not Specified,DT,OUTAGE ON 11-OBAWOLEINJ-T1-ROTIMI WILLIAMS-KAYFARM 2 (BILATERAL DT),KAYFARM
29/11/2021,Abule Egba,Iju,Not Specified,DT,OUTAGE ON 11-OBAWOLEINJ-T1-ROTIMI WILLIAMS-KAYFARM 2 (BILATERAL DT),KAYFARM
03/12/2021,Shomolu,Magodo,33 KV,TCN,RE: FAULT AFFECTING 33-OKE-AROTCN-AKUTE-QUEEN GARDENS ESTATE AND 33-OKE-AROTCN-AKUTE-FAAN ESTATE,QUEEN GARDENS ESTATE AND FAAN
03/12/2021,Shomolu,Magodo,33 KV,Feeder,RE: FAULT AFFECTING 33-OKE-AROTCN-AKUTE-QUEEN GARDENS ESTATE AND 33-OKE-AROTCN-AKUTE-FAAN ESTATE,QUEEN GARDENS ESTATE AND FAAN
03/12/2021,Shomolu,Ketu,11 KV,Feeder,AGBOYI 11KV FEEDER OUT OF SUPPLY,AGBOYI
03/12/2021,Shomolu,Ketu,11 KV,Feeder,AGBOYI 11KV FEEDER OUT OF SUPPLY,AGBOYI
03/12/2021,Shomolu,Ketu,11 KV,Feeder,AGBOYI 11KV FEEDER OUT OF SUPPLY,AGBOYI
06/12/2021,Abule Egba,Iju,Not Specified,HVDS,RE: OUTAGE ON 11-AGEGEINJ-T1-IJU ROAD-173/175 IJU ROAD HVDS,IJU ROAD HVDS
06/12/2021,Abule Egba,Iju,Not Specified,HVDS,RE: OUTAGE ON 11-AGEGEINJ-T1-IJU ROAD-173/175 IJU ROAD HVDS,IJU ROAD HVDS
08/12/2021,Abule Egba,Akute,Not Specified,HVDS,OUTAGE ON HVDS 3 ORUBA 50KVA,HVDS 3 ORUBA 50KVA
08/12/2021,Abule Egba,Akute,Not Specified,Transformer (N/S),OUTAGE ON ROTIMI SHITTAN 500KVA,ROTIMI SHITTAN 500KVA
08/12/2021,Abule Egba,Akute,Not Specified,Transformer (N/S),OUTAGE ON MARTINS 500KVA,MARTINS 500KVA
10/12/2021,Abule Egba,Ijaiye,11 KV,Transformer,"OUTAGE ON MARKET 2 500KVA,(11/0.415)KV DT ON AGBADO 2 FEEDER 11KKV","MARKET 2 500KVA,(11/0.415)KV DT ON AGBADO 2 FEEDER 11KKV"
13/12/2021,Abule Egba,Iju,Not Specified,Transformer (N/S),11-OBAWOLEINJ-T1-YOUDEOWEI,OBAWOLE
13/12/2021,Abule Egba,Iju,11 KV,Feeder,OUTAGE ON ROTIMI WILLIAMS (KAYFARM) 11KV BILATERAL FEEDER,KAYFARM
13/12/2021,Shomolu,Olowora,Not Specified,Human,CABLE PUNCTURE AT ODOGUN 500KVA SS,Isheri
14/12/2021,Abule Egba,Adiyan,Not Specified,DT,OUTAGE AFFECTING CUSTOMERS ON ITOKI 500KVA DT,ADIYAN
16/12/2021,Abule Egba,Ijaiye,Not Specified,Transformer (N/S),FAULT AFFECTING 11-IJAIYE OJOKOROINJ-T1-AGBADO 2-ANYALOGU,ANYALOGU
16/12/2021,Abule Egba,Ijaiye,Not Specified,Transformer (N/S),MAINTENANCE ON 11-IJAIYE OJOKOROINJ-T1-AGBADO 2-OGO OLUWA,11-IJAIYE OJOKOROINJ-T1-AGBADO 2-OGO OLUWA
20/12/2021,Abule Egba,Iju,Not Specified,HVDS,OUTAGE ON 11-OBAWOLEINJ-T1-YOUDEOWEI-2 ONI CRESCENT HVDS,11-OBAWOLEINJ-T1-YOUDEOWEI-2 ONI CRESCENT HVDS
20/12/2021,Abule Egba,Iju,Not Specified,HVDS,OUTAGE ON 11-AGEGEINJ-T1-IJU ROAD-27 ALADE CLOSE (2) HVDS,11-AGEGEINJ-T1-IJU ROAD-27 ALADE CLOSE (2) HVDS
21/12/2021,Shomolu,Olateju,Not Specified,Transformer (N/S),FAULT ON 11-NEW YABAINJ-T1-FADEYI,11-NEW YABAINJ-T1-FADEYI
28/12/2021,Abule Egba,Iju,Not Specified,DT,OUTAGE ON 11-OBAWOLEINJ-T1-ROTIMI WILLIAMS-KAYFARM 3 BILATERAL DT,11-OBAWOLEINJ-T1-ROTIMI WILLIAMS-KAYFARM 3 BILATERAL DT
03/01/2022,Abule Egba,Fagba,Not Specified,HVDS,FAULT ON 11-BECKLEYINJ-T1-AGBE ROAD-SANTOS HVDS 3,11-BECKLEYINJ-T1-AGBE ROAD-SANTOS HVDS 3
03/01/2022,Abule Egba,Iju,Not Specified,Human,RUPTURED 2NO HT FUSE,"MILLER-MOORE STREET, HAVILLAH ESTATE"
04/01/2022,Abule Egba,Fagba,Not Specified,Transformer (N/S),11-BECKLEYINJ-T1-AGBE ROAD-LUKMON,11-BECKLEYINJ-T1-AGBE ROAD-LUKMON
04/01/2022,Abule Egba,Iju,Not Specified,DT,OUTAGE ON 11-OBAWOLEINJ-T1-ROTIMI WILLIAMS-KAYFARM 2 BILATERAL DT,11-OBAWOLEINJ-T1-ROTIMI WILLIAMS-KAYFARM 2 BILATERAL DT
08/01/2022,Abule Egba,Iju,Not Specified,DT,OUTAGE ON 11-OBAWOLEINJ-T1-ROTIMI WILLIAMS-KAYFARM 2 BILATERAL DT,11-OBAWOLEINJ-T1-ROTIMI WILLIAMS-KAYFARM 2 BILATERAL DT
16/01/2022,Abule Egba,Fagba,Not Specified,Transformer (N/S),OUTAGE AFFECTING CUSTOMERS,• 11-BECKLEYINJ-T1-AGBE ROAD-ANGEL TEMPLE 2 • 11-BECKLEYINJ-T1-AGBE ROAD-ANGEL TEMPLE 1 • 11-BECKLEYINJ-T1-AGBE ROAD-SEGUN AREGBESHOLA • 11-BECKLEYINJ-T1-AGBE ROAD-HARMONY • 11-BECKLEYINJ-T1-AGBE ROAD-KAREEM ALABI • 11-BECKLEYINJ-T1-AGBE ROAD-ALHAJA KEHINDE
24/01/2022,Shomolu,Oworo,11 KV,Human,VANDALIZED CABLE ON BALOGUN 11KV FEEDER,BALOGUN
24/01/2022,Shomolu,Oworo,Not Specified,TCN,TCN LIMITATION,11-OWOROINJ-T1-ANTHONY 11-OWOROINJ-T1-HOSPITAL 11-OWOROINJ-T1-IFAKO 11-OWOROINJ-T2-LADILAC 11-OWOROINJ-T2-OWORO 11-OWOROINJ-T2-PEDRO 11-OWOROINJ-T3-BARIGA 11-OWOROINJ-T3-GBAGADA 11-OWOROINJ-T3-GTBANK 11-OGUDUINJ-T2-ORIOLA 11-OGUDUINJ-T3-SOLUYI 11-OGUDUINJ-T3
04/02/2022,Abule Egba,Iju,11 KV,Feeder,OUTAGE ON ROTIMI WILLIAMS (KAY FARMS) 11KV BILATERAL FEEDER,KAYFARM
07/02/2022,Akowonjo,OKE,Not Specified,Transformer (N/S),OUTAGE AFFECTING CUSTOMERS ON 11-AGEGEINJ-T1-OKO OBA,11-AGEGEINJ-T1-OKO OBA
13/02/2022,Shomolu,Olowora,11 KV,Feeder,FRO SAFE WORKING SPACE DUE TO WORK TO BE DONE ON RIVER VALLEY 11KV FEEDER,"OWUTU, AGRIC, ORI-OKUTA, MAJIDUN, ASOLO, ISAWO"
15/02/2022,Abule Egba,Ijaiye,Not Specified,Transformer,TO ENABLE IKEJAWEST CREW CARRYOUT ANNUAL PREVENTIVE MAINTENANCE ON T 2 60MVA,"ABULE EGBA, BECKLEY ESTATE, HAMADIYA. IJAYE OJOKORO, MERAN, OBAWOLE, FAGBA,IJU ROAD."
25/02/2022,Abule Egba,Fagba,Not Specified,HVDS,FAULT ON 11-BECKLEYINJ-T1-AGBE ROAD-SANNI BALOGUN HVDS 4,11-BECKLEYINJ-T1-AGBE ROAD-SANNI BALOGUN HVDS 4
