name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"6.659095, 3.309853",2021-10-01,29.6,25,26.6,35.5,25,28.3,24.7,90,3,100,8.33,rain,,,16.6,14.8,237.4,1013.3,56.3,9.6,103.3,9,4,,2021-10-01T06:34:34,2021-10-01T18:38:08,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999,VRJT5"
"6.659095, 3.309853",2021-10-02,31,24,27.3,39.1,24,30.5,24.7,86.4,0,0,0,,,,27.7,24.1,241.5,1012.1,56.5,9.6,126.4,11.2,5,,2021-10-02T06:34:25,2021-10-02T18:37:38,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
"6.659095, 3.309853",2021-10-03,31.1,24.8,27.2,38,24.8,30,24.9,87.7,1,100,33.33,rain,,,16.6,18.7,244.5,1012.6,62,9.8,129.6,11.2,4,,2021-10-03T06:34:17,2021-10-03T18:37:08,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999,VRJT5"
"6.659095, 3.309853",2021-10-04,32.1,13.5,25.8,39.3,13.5,29.2,22.2,81.1,3,100,66.67,rain,,,27.7,55.4,196.6,1016.9,55.7,13.3,222.4,19.1,8,,2021-10-04T06:34:09,2021-10-04T18:36:39,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,VRJT5,65201099999"
"6.659095, 3.309853",2021-10-05,31,24.8,27.6,37.7,24.8,31,24.7,84.3,0,0,0,,,,16.6,18.4,209,1011.7,57.8,9.6,177.3,15.1,6,,2021-10-05T06:34:02,2021-10-05T18:36:10,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
"6.659095, 3.309853",2021-10-06,29,25,26.9,35.1,25,29.3,24.9,88.9,1,100,4.17,rain,,,22.3,18.4,232.3,1012.2,54.1,9.1,87.9,7.7,3,,2021-10-06T06:33:55,2021-10-06T18:35:41,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,remote,65201099999,VRJT5"
"6.659095, 3.309853",2021-10-07,31,23.1,26.9,37.7,23.1,29.3,24.1,85.5,0,0,0,,,,20.5,16.6,224.9,1011.7,56.1,9.6,206.9,17.9,7,,2021-10-07T06:33:48,2021-10-07T18:35:13,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
"6.659095, 3.309853",2021-10-08,33,23.8,27.5,42.1,23.8,30.9,24.6,84.9,0,0,0,,,,20.5,16.6,223.8,1010.3,53.1,9.6,277.5,23.9,10,,2021-10-08T06:33:42,2021-10-08T18:34:45,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
"6.659095, 3.309853",2021-10-09,29,24.8,26.7,35.6,24.8,29.2,25.2,91.6,30,100,4.17,rain,,,22.3,22.3,245.7,1011.3,64.8,9.6,91.3,7.7,3,,2021-10-09T06:33:36,2021-10-09T18:34:18,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VRJU8,DNMM,65201099999,VRJT5"
"6.659095, 3.309853",2021-10-10,32,24,27.2,40.6,24,30.5,24.7,86.7,5,100,4.17,rain,,,22.3,18.4,223,1012.3,61.7,9.1,118.7,10.3,4,,2021-10-10T06:33:30,2021-10-10T18:33:51,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VRJU8,DNMM,65201099999,VRJT5"
