name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"6.616865, 3.508072",2021-10-01,29.6,24.8,26.6,35.5,24.8,28.3,24.7,89.9,3,100,8.33,rain,,,16.6,14.8,239.2,1013.4,56.2,9.6,94,8.1,3,,2021-10-01T06:33:46,2021-10-01T18:37:21,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999,VRJT5"
"6.616865, 3.508072",2021-10-02,31,24,27.3,39.1,24,30.5,24.7,86.4,0,0,0,,,,27.7,24.1,242.4,1012.1,56.4,9.6,139.6,12.2,5,,2021-10-02T06:33:37,2021-10-02T18:36:51,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
"6.616865, 3.508072",2021-10-03,31.1,24.8,27.2,37.9,24.8,29.9,24.7,86.6,0.8,100,33.33,rain,,,16.6,16.6,246.1,1012.6,64.1,9.8,126.5,11,4,,2021-10-03T06:33:29,2021-10-03T18:36:21,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999,VRJT5"
"6.616865, 3.508072",2021-10-04,32.1,13.5,25.9,39.3,13.5,29.3,22.1,80.2,3.2,100,66.67,rain,,,27.7,55.4,197.2,1016.9,57.6,13.3,219.3,19,8,,2021-10-04T06:33:21,2021-10-04T18:35:52,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,VRJT5,65201099999"
"6.616865, 3.508072",2021-10-05,31,24.3,27.6,37.7,24.3,30.9,24.6,84.2,0,0,0,,,,16.6,18.4,208.9,1011.8,57.5,9.7,171.1,14.7,6,,2021-10-05T06:33:13,2021-10-05T18:35:23,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
"6.616865, 3.508072",2021-10-06,29,25,26.8,34.5,25,29.1,24.8,88.9,1,100,4.17,rain,,,22.3,18.4,232.1,1012.3,54.2,9.3,78.7,6.8,3,,2021-10-06T06:33:06,2021-10-06T18:34:54,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,remote,65201099999,VRJT5"
"6.616865, 3.508072",2021-10-07,31,23.1,26.8,37.7,23.1,29.3,24.1,85.4,0,0,0,,,,20.5,16.6,223.6,1011.8,55.9,9.6,234.5,20.2,8,,2021-10-07T06:32:59,2021-10-07T18:34:26,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
"6.616865, 3.508072",2021-10-08,33,23.6,27.5,42.1,23.6,30.8,24.5,84.8,0,0,0,,,,20.5,16.6,223.5,1010.3,52.9,9.6,273.8,23.6,9,,2021-10-08T06:32:53,2021-10-08T18:33:59,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
"6.616865, 3.508072",2021-10-09,29,24.8,26.7,35.6,24.8,29.1,25.1,91.4,30,100,4.17,rain,,,22.3,22.3,245,1011.4,64.9,9.7,84,7.1,3,,2021-10-09T06:32:47,2021-10-09T18:33:32,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VRJU8,DNMM,65201099999,VRJT5"
"6.616865, 3.508072",2021-10-10,32,24,27.2,40.6,24,30.5,24.7,86.6,5,100,4.17,rain,,,22.3,18.4,223.3,1012.3,61.8,9.2,127.8,11,4,,2021-10-10T06:32:41,2021-10-10T18:33:05,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VRJU8,DNMM,65201099999,VRJT5"
