,Date,Peak Generation,Daily Energy Generation,Lowest Energy Generation,Daily Energy Sent,6:00 Generation,Highest System Frequency,Lowest System Frequency,Highest Voltage Recorded,Lowest Voltage Recorded
0,2022-09-09,4409.4,100435.58,3516.35,99144.33,4359.4,50.73,49.01,350.0,300.0
1,2022-07-11,4022.2,90621.28,3521.3,89393.08,3941.1,50.857,49.0,355.0,300.0
2,2022-05-19,3758.6,84434.45,3185.6,83339.89,3526.3,50.718,49.025,358.0,300.0
3,2023-10-27,4876.3,111619.53,4405.7,110217.64,4867.8,50.508,49.052,346.0,292.0
4,2022-10-08,4263.7,97661.74,3722.1,96304.3,3571.6,50.76,49.0,347.0,299.0
5,2023-01-15,4198.2,98274.94,3934.3,96882.58,3803.93,50.405,49.036,358.0,300.0
6,2023-11-15,4438.28,88102.27,2749.72,86605.69,4764.28,50.94,49.42,361.0,300.0
7,2021-10-03,4849.03,95387.46,3284.0,93940.12,4160.9,50.928,49.816,349.0,300.0
8,2023-03-23,4515.0,103111.07,3435.4,101656.25,4386.7,51.15,49.09,358.0,300.0
9,2023-09-24,4726.9,97895.81,3537.9,96689.39,4389.4,50.977,49.598,352.0,300.0
10,2023-03-29,4663.6,105462.69,3625.5,103940.59,4606.1,51.259,49.014,346.0,291.0
11,2021-10-09,4620.1,97829.83,3530.1,96442.85,3875.9,50.77,48.35,351.0,300.0
12,2023-11-01,4958.2,111107.78,4260.5,109726.46,4887.7,50.45,49.33,346.0,297.0
13,2021-12-21,4939.8,103195.05,3907.5,101603.46,4511.2,50.773,49.017,354.0,295.0
14,2023-01-01,4720.6,103988.01,3816.8,102792.25,4084.7,50.68,49.735,358.0,300.0
15,2023-05-14,4410.5,100796.83,3908.3,99324.68,2409.5,51.19,49.38,357.0,300.0
16,2023-07-26,4040.9,95424.2,3860.6,94239.76,4060.99,50.55,48.94,349.0,300.0
17,2022-07-05,3727.7,81310.5,3158.5,80175.03,3645.9,50.356,49.029,357.0,300.0
18,2022-11-22,4405.6,102397.64,4169.5,101024.23,4176.7,50.32,49.0,352.0,300.0
19,2022-09-03,4446.7,97435.18,3310.5,96065.76,3804.3,51.076,48.99,353.0,300.0
20,2022-03-10,4119.2,92700.42,3658.3,91320.89,3851.3,50.65,49.053,363.0,300.0
21,2022-01-22,4450.2,101980.8,3892.3,100446.88,4118.1,50.52,49.0,352.0,294.0
22,2023-06-18,3948.28,85874.67,3262.7,85185.5,4086.4,50.965,49.023,350.0,300.0
23,2022-06-18,3651.59,80903.35,3194.5,79864.63,3231.6,50.464,49.017,356.0,300.0
24,2023-01-22,4261.61,97250.33,3698.8,95980.7,4330.5,50.98,49.0,350.0,300.0
25,2021-10-30,4743.81,99259.32,3634.7,98032.5,3705.7,50.68,49.79,353.0,300.0
26,2023-03-10,4504.2,102563.48,3746.5,101076.19,4188.5,51.03,48.7,352.0,293.0
27,2023-09-03,4379.5,93451.5,3444.3,92324.53,3543.8,50.578,49.256,350.0,300.0
28,2023-07-05,4275.24,97849.15,3853.5,96132.61,4323.2,50.629,49.012,350.0,300.0
29,2022-07-26,3734.7,87577.48,3592.1,86359.28,3709.6,50.582,48.95,358.0,290.0
30,2022-05-14,3871.6,81452.41,2589.8,80362.71,3639.9,51.89,49.01,358.0,300.0
31,2022-01-01,5111.8,108296.47,4060.9,106655.41,4275.6,50.444,49.176,352.0,297.0
32,2022-03-29,4087.8,93352.25,3681.4,92263.82,4001.4,50.61,49.6,352.0,300.0
33,2022-09-24,4215.8,97699.46,3838.6,96271.03,3995.9,50.41,49.11,351.0,300.0
34,2022-11-01,4803.0,108482.78,4182.3,107335.02,4863.7,50.5,49.0,353.0,300.0
35,2022-11-15,4735.1,108693.08,4344.18,107666.46,4561.4,50.4,49.0,352.0,300.0
36,2022-03-23,3920.4,90997.83,3478.7,89991.9,3827.5,50.58,49.346,352.0,292.0
37,2022-01-15,4611.94,102690.22,3996.1,100817.44,3919.0,51.006,49.023,352.0,293.0
38,2023-10-08,5042.0,110294.84,4204.4,109150.4,4769.3,50.67,49.25,345.0,300.0
39,2023-05-19,4782.1,101368.61,3729.6,99657.58,4002.0,50.904,48.88,352.0,300.0
40,2022-10-27,4479.1,99471.61,3951.28,98383.42,4455.9,50.402,49.02,354.0,300.0
41,2023-07-11,4336.64,99563.82,3894.8,97879.23,3994.2,50.819,48.93,350.0,300.0
42,2023-03-04,5219.33,111755.21,4205.5,110191.86,4849.4,50.94,49.09,350.0,290.0
43,2021-10-24,4329.39,91810.12,2781.5,90640.97,3724.1,51.68,49.567,354.0,300.0
44,2021-12-16,5159.1,108504.0,4043.7,106901.08,4742.7,50.54,49.47,352.0,294.0
45,2023-10-24,4806.8,108133.06,4268.9,106905.84,4763.5,50.534,49.016,346.0,296.0
46,2023-02-16,4906.2,114802.41,4547.4,113294.4,4839.7,50.62,49.03,352.0,300.0
47,2023-08-01,4031.5,92527.32,3573.6,91052.76,4134.1,50.42,48.96,353.0,300.0
