Date,Branch,Location,Feeder,Category,Fault,Areas Affected,Peak Generation,Daily Energy Generation,Lowest Energy Generation,Daily Energy Sent,6:00 Generation,Highest System Frequency,Lowest System Frequency,Highest Voltage Recorded,Lowest Voltage Recorded,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2021-10-02,Shomolu,OWORO ,33 KV,Feeder,FAULT ON OWORO IGBOBI 33KV,OWORO IGBOBI,4574.23,96086.18,3321.9,94576.37,3904.9,50.69,50.023,352.0,300.0,"6.532954, 3.36739",2021-10-02,31.0,24.0,27.3,39.1,24.0,30.5,24.7,86.4,0.0,0,0.0,,,,27.7,24.1,241.5,1012.1,56.1,9.6,126.4,11.2,5,,2021-10-02T06:34:10,2021-10-02T18:37:26,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
2021-10-02,Shomolu,OWORO,33 KV,Feeder,FAULT ON OWORO IGBOBI 33KV,OWORO IGBOBI,4574.23,96086.18,3321.9,94576.37,3904.9,50.69,50.023,352.0,300.0,"6.532954, 3.36739",2021-10-02,31.0,24.0,27.3,39.1,24.0,30.5,24.7,86.4,0.0,0,0.0,,,,27.7,24.1,241.5,1012.1,56.1,9.6,126.4,11.2,5,,2021-10-02T06:34:10,2021-10-02T18:37:26,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
2021-10-03,,,,,None,,4849.03,95387.46,3284.0,93940.12,4160.9,50.928,49.816,349.0,300.0,"6.532954, 3.36739",2021-10-03,31.1,24.8,27.2,37.9,24.8,30.0,24.9,87.7,1.0,100,33.33,rain,,,16.6,18.7,244.5,1012.5,61.7,9.8,129.6,11.2,4,,2021-10-03T06:34:01,2021-10-03T18:36:56,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999,VRJT5"
2021-10-04,Abule Egba,FAGBA,Not Specified,Transformer (N/S),FAULT ON 11-IJAIYE OJOKOROINJ-T1-AGBADO 2-MAJEOBAJE,11 IJAIYE OJOKOROINJ T1 AGBADO 2 MAJEOBAJE,4932.41,103650.5,3473.8,102115.35,4057.1,51.026,49.583,346.0,296.0,"6.532954, 3.36739",2021-10-04,32.1,13.5,25.8,39.3,13.5,29.2,22.2,81.1,3.0,100,66.67,rain,,,27.7,55.4,196.6,1016.9,55.6,13.3,222.4,19.1,8,,2021-10-04T06:33:53,2021-10-04T18:36:27,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,VRJT5,65201099999"
2021-10-05,,,,,None,,4609.41,100927.08,3460.9,99289.01,3743.5,51.223,49.846,347.0,293.0,"6.532954, 3.36739",2021-10-05,31.0,24.8,27.7,37.7,24.8,31.0,24.7,84.3,0.0,0,0.0,,,,16.6,18.4,209.1,1011.7,57.5,9.6,177.3,15.1,6,,2021-10-05T06:33:45,2021-10-05T18:35:58,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
2021-10-06,,,,,None,,4844.3,98480.26,3404.7,97042.39,4120.0,51.08,50.01,347.0,300.0,"6.532954, 3.36739",2021-10-06,29.0,25.0,26.9,35.2,25.0,29.3,24.9,88.9,1.0,100,4.17,rain,,,22.3,18.4,232.3,1012.2,53.6,9.1,87.9,7.7,3,,2021-10-06T06:33:38,2021-10-06T18:35:30,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,remote,65201099999,VRJT5"
2021-10-07,,,,,None,,5084.7,101292.29,3544.2,100011.43,4338.9,50.98,49.2,349.0,294.0,"6.532954, 3.36739",2021-10-07,31.0,23.1,26.9,37.7,23.1,29.3,24.1,85.5,0.0,0,0.0,,,,20.5,16.6,224.9,1011.7,55.6,9.6,206.9,17.9,7,,2021-10-07T06:33:31,2021-10-07T18:35:02,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
2021-10-08,,,,,None,,4907.59,105701.39,3641.1,104198.76,4017.6,50.99,48.75,377.0,290.0,"6.532954, 3.36739",2021-10-08,33.0,23.8,27.5,42.1,23.8,30.9,24.6,84.9,0.0,0,0.0,,,,20.5,16.6,223.8,1010.3,52.6,9.6,277.5,23.9,10,,2021-10-08T06:33:25,2021-10-08T18:34:35,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
2021-10-09,,,,,None,,4620.1,97829.83,3530.1,96442.85,3875.9,50.77,48.35,351.0,300.0,"6.532954, 3.36739",2021-10-09,29.0,24.8,26.7,35.6,24.8,29.2,25.2,91.6,30.0,100,4.17,rain,,,22.3,22.3,245.7,1011.3,64.5,9.6,91.3,7.7,3,,2021-10-09T06:33:18,2021-10-09T18:34:08,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VRJU8,DNMM,65201099999,VRJT5"
2021-10-10,Abule Egba,FAGBA,11 KV,Feeder,FAULT ON AGBE ROAD 11KV FEEDER,AGBE ROAD,4916.2,97010.85,3344.1,95590.29,4330.8,50.81,48.0,352.0,300.0,"6.532954, 3.36739",2021-10-10,32.0,24.0,27.2,40.6,24.0,30.5,24.7,86.7,5.0,100,4.17,rain,,,22.3,18.4,223.0,1012.3,61.3,9.1,118.7,10.3,4,,2021-10-10T06:33:13,2021-10-10T18:33:41,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VRJU8,DNMM,65201099999,VRJT5"
2021-10-10,Abule Egba,FAGBA,11 KV,Feeder,FAULT ON AGBE ROAD 11KV FEEDER,AGBE ROAD,4916.2,97010.85,3344.1,95590.29,4330.8,50.81,48.0,352.0,300.0,"6.532954, 3.36739",2021-10-10,32.0,24.0,27.2,40.6,24.0,30.5,24.7,86.7,5.0,100,4.17,rain,,,22.3,18.4,223.0,1012.3,61.3,9.1,118.7,10.3,4,,2021-10-10T06:33:13,2021-10-10T18:33:41,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VRJU8,DNMM,65201099999,VRJT5"
2021-10-11,,,,,None,,4815.73,103439.85,3635.2,101729.23,4227.5,51.099,49.374,349.0,298.0,"6.532954, 3.36739",2021-10-11,32.0,24.0,27.7,40.6,24.0,31.0,25.0,85.9,2.0,100,4.17,rain,,,16.6,16.6,239.9,1012.7,57.9,9.7,185.7,16.0,7,,2021-10-11T06:33:07,2021-10-11T18:33:15,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,VRJU8,DNMM,65201099999,VRJT5"
2021-10-12,,,,,None,,5066.59,101369.14,3533.9,99810.07,4507.1,50.947,49.357,394.0,294.0,"6.532954, 3.36739",2021-10-12,32.0,23.0,27.2,44.0,23.0,31.2,24.8,87.6,17.0,100,4.17,rain,,,18.4,27.7,219.2,1011.5,43.3,8.9,79.4,6.8,3,,2021-10-12T06:33:02,2021-10-12T18:32:49,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,VRJU8,DNMM,65201099999"
2021-10-13,,,,,None,,4872.6,103062.52,3774.2,101568.16,4351.7,50.849,49.189,351.0,293.0,"6.532954, 3.36739",2021-10-13,33.0,24.9,28.3,40.6,24.9,31.8,24.3,79.9,0.3,100,8.33,rain,,,16.6,18.4,219.3,1011.4,48.2,9.7,176.7,15.3,6,,2021-10-13T06:32:58,2021-10-13T18:32:25,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
2021-10-14,,,,,None,,5093.01,103425.96,3631.4,101933.48,4513.1,50.757,49.174,348.0,294.0,"6.532954, 3.36739",2021-10-14,33.0,24.8,28.2,40.6,24.8,31.6,24.8,82.4,0.0,0,0.0,,,,25.9,22.3,192.3,1011.7,54.1,9.7,115.8,10.1,4,,2021-10-14T06:32:54,2021-10-14T18:32:00,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
